,"EntryType","LootMinRarity","LootMaxRarity","LootMinPowerLevel","LootMaxPowerLevel","LootType","LootSpecifier","AllowGrouping"
"NewRow1","Reward","Supreme","Supreme",9,11,"Mod","Any","True"
"NewRow2","Loot","Common","Common",1,1,"Mod","Any","True"
"NewRow3","Loot","Common","Common",1,1,"Mod","Any","True"
"NewRow4","Loot","Common","Common",2,2,"Mod","Any","True"
"NewRow5","Loot","Common","Common",1,1,"Mod","Any","True"
"NewRow6","Loot","Common","Common",1,1,"Mod","Any","True"
"NewRow7","Loot","Common","Common",2,2,"Armour","Any","True"
"NewRow8","Loot","Common","Common",4,5,"Armour","Any","True"
"NewRow9","Loot","Common","Common",4,5,"Armour","Any","True"
"NewRow10","Special","Common","Common",2,2,"BonusCrates",,"True"
"NewRow11","Special","Common","Common",3,3,"BonusXP",,"True"
"NewRow13","Special","Common","Common",1,1,"VisibleFinalReward",,"True"
"NewRow14","Reward","Common","Common",6,6,"Character","Any| Any|-10","True"
"NewRow15","Reward","Common","Common",6,6,"Character","Any| Any|-10","True"
