,"EntryType","LootMinRarity","LootMaxRarity","LootMinPowerLevel","LootMaxPowerLevel","LootType","LootSpecifier","AllowGrouping"
"NewRow2","Loot","Rare","Rare",1,1,"Mod","Any","True"
"NewRow3","Loot","Rare","Rare",1,1,"Mod","Any","True"
"NewRow4","Loot","Rare","Rare",2,2,"Mod","Any","True"
"NewRow5","Loot","Rare","Rare",1,1,"Mod","Any","True"
"NewRow6","Loot","Rare","Rare",1,1,"Mod","Any","True"
"NewRow7","Loot","Rare","Rare",2,2,"Mod","Any","True"
"NewRow8","Loot","Rare","Rare",4,5,"Armour","Any","True"
"NewRow9","Loot","Rare","Rare",4,5,"Armour","Any","True"
"NewRow10","Reward","Rare","Rare",12,12,"Character","Any| Any|-10","True"
"NewRow11","Reward","Rare","Rare",12,12,"Character","Any| Any|-10","True"
